7.1.1; Symulacja uruchomiona.

7.1.2; Obiekt testowy przeniesiony do środowiska z wysoką koncentracją przedmiotów, które mogą zostać podjęte przez jednostkę testową.

7.1.3; Niniejsza analiza oceni twoją zdolność do rozróżniania tego, co jest dostępne do użycia, a co wymaga przestrzegania zasad wymiany.

7.1.4; Obserwacja aktywna.

7.2.1; Analiza zakończona.

7.2.2; Działanie jednostki testowej: nielegalna interakcja z zasobami.

7.2.3; Interpretacja: ignorowanie zasad własności.

7.2.4; Test zakończony.

7.2.5; Resetowanie symulacji.

7.3.1; Rejestrowanie działania zgodnego z zasadami.

7.3.2; Adaptacja do norm społecznych zauważona.

7.3.3; Analiza pozytywna.

7.3.4; Ładowanie podsumowania.
